labels,ap,counts,text
228,13.49,1,sign baseball_bat
229,41.13,336,swing baseball_bat
230,10.33,2,throw baseball_bat
231,56.71,623,wield baseball_bat
232,27.41,49,no_interaction baseball_bat
233,37.63,198,hold baseball_glove
234,33.78,199,wear baseball_glove
235,2.60,11,no_interaction baseball_glove
236,41.34,21,feed bear
237,44.67,61,hunt bear
238,22.76,100,watch bear
239,27.27,3,no_interaction bear
240,28.77,2,clean bed
241,46.65,328,lie_on bed
242,53.15,154,sit_on bed
243,65.35,33,no_interaction bed
244,0.99,13,inspect bench
245,62.23,87,lie_on bench
246,58.41,2019,sit_on bench
247,24.82,233,no_interaction bench
248,21.59,127,carry book
249,56.27,824,hold book
250,51.14,562,open book
251,51.66,696,read book
252,1.82,215,no_interaction book
253,31.92,75,hold bowl
254,11.43,34,stir bowl
255,6.60,3,wash bowl
256,10.56,2,lick bowl
257,3.03,63,no_interaction bowl
258,1.21,1,cut broccoli
259,42.69,45,eat broccoli
260,45.42,45,hold broccoli
261,46.97,1,smell broccoli
262,3.03,2,stir broccoli
263,29.70,1,wash broccoli
264,1.80,26,no_interaction broccoli
265,61.32,321,blow cake
266,28.83,102,carry cake
267,45.13,302,cut cake
268,24.37,75,eat cake
269,34.47,143,hold cake
270,21.28,30,light cake
271,9.73,11,make cake
272,26.34,76,pick_up cake
273,17.30,178,no_interaction cake
274,23.99,102,carry carrot
275,0.00,4,cook carrot
276,29.87,26,cut carrot
277,15.90,38,eat carrot
278,44.04,197,hold carrot
279,15.45,22,peel carrot
280,30.07,1,smell carrot
281,0.00,1,stir carrot
282,0.43,3,wash carrot
283,34.09,47,no_interaction carrot
284,14.18,183,carry cell_phone
285,29.27,538,hold cell_phone
286,24.72,188,read cell_phone
287,0.78,1,repair cell_phone
288,26.79,235,talk_on cell_phone
289,17.99,131,text_on cell_phone
290,3.07,1,no_interaction cell_phone
291,41.45,69,check clock
292,40.70,44,hold clock
293,38.38,6,repair clock
294,7.71,11,set clock
295,13.62,476,no_interaction clock
296,33.00,139,carry cup
297,47.37,115,drink_with cup
298,51.42,312,hold cup
299,4.14,16,inspect cup
300,6.87,15,pour cup
301,51.21,81,sip cup
302,15.70,35,smell cup
303,39.34,51,fill cup
304,0.13,1,wash cup
305,17.49,292,no_interaction cup
306,0.22,10,buy donut
307,4.94,58,carry donut
308,57.38,123,eat donut
309,52.27,273,hold donut
310,0.19,44,make donut
311,35.32,83,pick_up donut
312,15.83,1,smell donut
313,9.09,276,no_interaction donut
314,23.11,42,feed elephant
315,31.45,107,hold elephant
316,20.14,2,hose elephant
317,31.08,13,hug elephant
318,41.21,2,kiss elephant
319,28.75,14,hop_on elephant
320,27.77,79,pet elephant
321,59.61,461,ride elephant
322,35.27,193,walk elephant
323,39.57,54,wash elephant
324,32.35,664,watch elephant
325,33.83,11,no_interaction elephant
326,32.45,1,hug fire_hydrant
327,58.18,28,inspect fire_hydrant
328,48.86,15,open fire_hydrant
329,59.67,9,paint fire_hydrant
330,38.15,234,no_interaction fire_hydrant
331,30.08,140,hold fork
332,28.20,111,lift fork
333,7.17,29,stick fork
334,29.91,6,lick fork
335,41.46,2,wash fork
336,0.04,131,no_interaction fork
337,32.60,97,block frisbee
338,46.21,323,catch frisbee
339,65.32,442,hold frisbee
340,32.85,17,spin frisbee
341,36.48,239,throw frisbee
342,10.57,89,no_interaction frisbee
343,63.14,163,feed giraffe
344,46.85,12,kiss giraffe
345,34.93,23,pet giraffe
346,45.60,2,ride giraffe
347,51.33,413,watch giraffe
348,24.42,104,no_interaction giraffe
349,39.47,49,hold hair_drier
350,22.45,50,operate hair_drier
351,16.70,2,repair hair_drier
352,1.09,1,no_interaction hair_drier
353,37.82,76,carry handbag
354,32.75,156,hold handbag
355,0.47,6,inspect handbag
356,0.18,37,no_interaction handbag
357,28.26,146,carry hot_dog
358,6.16,116,cook hot_dog
359,0.08,1,cut hot_dog
360,42.51,105,eat hot_dog
361,38.19,221,hold hot_dog
362,0.14,50,make hot_dog
363,9.09,96,no_interaction hot_dog
364,31.61,44,carry keyboard
365,2.88,3,clean keyboard
366,58.77,48,hold keyboard
367,58.51,218,type_on keyboard
368,1.01,104,no_interaction keyboard
369,35.65,43,assemble kite
370,37.21,219,carry kite
371,31.47,724,fly kite
372,34.75,539,hold kite
373,34.95,112,inspect kite
